1,11,12.5
2,11,10
3,11,8
4,11,2
5,11,0
6,11,-2
7,8.5,12.5
8,8.5,11
9,8.5,8
10,9.75,4.4
11,8,2
12,8,0
13,8,-2
14,5.5,9
15,5.5,8
16,5.5,5
17,5.5,2
18,5.5,0
19,3,12
20,1.5,11.5
21,3,9
22,3,8
23,3.2,5
24,3,2
25,3,0
26,3,-2
27,0,8
28,0,5
29,0,2
30,0,0
31,0,-2
32,-2.5,-0.5
33,-1.5,9.5
34,-1.5,12.5
36,-3.5,11
37, -4.5,12
39,-3.5,-0.5
40,-4.5,4.7
41,-4.5,1.7
42,-4.5,-1.3
43,-7.5,4.7
44,-7.5,1.7
45,-7.5,-1.3
