4,11,17,3,12,16,7,23,9,10,8,1,13,14,15,6,5,2,18,19,20,21,22,24,25,26,27,28,29,30
3,11,17,4,12,16,7,23,9,10,8,1,13,14,15,6,5,2,18,19,20,21,22,24,25,26,27,28,29,30
4,11,17,3,12,16,6,23,9,10,8,1,13,14,15,7,5,2,18,19,20,21,22,24,25,26,27,28,29,30
3,11,17,4,12,16,6,23,9,10,8,1,13,14,15,7,5,2,18,19,20,21,22,24,25,26,27,28,29,30
4,11,6,3,12,9,7,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,25,26,27,28,29,30
3,11,6,4,12,9,7,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,25,26,27,28,29,30
4,11,7,3,12,9,6,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,25,26,27,28,29,30
3,11,7,4,12,9,6,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,25,26,27,28,29,30
4,11,17,3,12,16,7,23,9,10,8,1,13,14,15,6,5,2,18,19,20,21,22,24,25,26,30,28,29,27
3,11,17,4,12,16,7,23,9,10,8,1,13,14,15,6,5,2,18,19,20,21,22,24,25,26,30,28,29,27
4,11,17,3,12,16,6,23,9,10,8,1,13,14,15,7,5,2,18,19,20,21,22,24,25,26,30,28,29,27
3,11,17,4,12,16,6,23,9,10,8,1,13,14,15,7,5,2,18,19,20,21,22,24,25,26,30,28,29,27
4,11,6,3,12,9,7,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,25,26,30,28,29,27
3,11,6,4,12,9,7,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,25,26,30,28,29,27
4,11,7,3,12,9,6,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,25,26,30,28,29,27
3,11,7,4,12,9,6,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,25,26,30,28,29,27
4,11,17,3,12,16,7,23,9,10,8,1,13,14,15,6,5,2,18,19,20,21,22,24,27,29,30,28,26,25
3,11,17,4,12,16,7,23,9,10,8,1,13,14,15,6,5,2,18,19,20,21,22,24,27,29,30,28,26,25
4,11,17,3,12,16,7,23,9,10,8,1,13,14,15,6,5,2,18,19,20,21,22,24,27,29,30,28,25,26
3,11,17,4,12,16,7,23,9,10,8,1,13,14,15,6,5,2,18,19,20,21,22,24,27,29,30,28,25,26
4,11,17,3,12,16,6,23,9,10,8,1,13,14,15,7,5,2,18,19,20,21,22,24,27,29,30,28,26,25
3,11,17,4,12,16,6,23,9,10,8,1,13,14,15,7,5,2,18,19,20,21,22,24,27,29,30,28,26,25
4,11,17,3,12,16,6,23,9,10,8,1,13,14,15,7,5,2,18,19,20,21,22,24,27,29,30,28,25,26
3,11,17,4,12,16,6,23,9,10,8,1,13,14,15,7,5,2,18,19,20,21,22,24,27,29,30,28,25,26
4,11,6,3,12,9,7,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,27,29,30,28,26,25
3,11,6,4,12,9,7,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,27,29,30,28,26,25
4,11,7,3,12,9,6,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,27,29,30,28,26,25
3,11,7,4,12,9,6,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,27,29,30,28,26,25
4,11,6,3,12,9,7,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,27,29,30,28,25,26
3,11,6,4,12,9,7,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,27,29,30,28,25,26
4,11,7,3,12,9,6,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,27,29,30,28,25,26
3,11,7,4,12,9,6,23,16,10,8,1,13,14,15,17,5,2,18,19,20,21,22,24,27,29,30,28,25,26
4,11,17,3,12,16,7,23,9,10,8,1,13,14,15,6,5,2,20,19,18,21,22,24,25,26,27,28,29,30
3,11,17,4,12,16,7,23,9,10,8,1,13,14,15,6,5,2,20,19,18,21,22,24,25,26,27,28,29,30
