        mark         | zone | number | state | level | source  |    info    
---------------------+------+--------+-------+-------+---------+------------
 2004-07-19 00:00:00 | S    |     77 |     1 |    14 | ArgusMS | inhabitant
 2004-07-19 00:00:01 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-19 00:00:02 | S    |     79 |     1 |   119 | ArgusMS | inhabitant
 2004-07-19 00:00:04 | S    |     77 |     1 |    15 | ArgusMS | inhabitant
 2004-07-19 00:00:05 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-19 00:00:08 | S    |     77 |     1 |    17 | ArgusMS | inhabitant
 2004-07-19 00:00:08 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-19 00:00:08 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-19 00:00:10 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-19 00:00:11 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-19 00:00:19 | S    |     79 |     1 |   118 | ArgusMS | inhabitant
 2004-07-19 00:00:20 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-19 00:00:20 | S    |     77 |     1 |    13 | ArgusMS | inhabitant
 2004-07-19 00:00:21 | S    |     77 |     1 |    17 | ArgusMS | inhabitant
 2004-07-19 00:00:25 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-19 00:00:25 | S    |     77 |     1 |    17 | ArgusMS | inhabitant
 2004-07-19 00:00:26 | S    |     79 |     1 |   119 | ArgusMS | inhabitant
 2004-07-19 00:00:28 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-19 00:00:28 | S    |     79 |     1 |   118 | ArgusMS | inhabitant
 2004-07-19 00:00:29 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-19 00:00:29 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-19 00:00:29 | S    |     79 |     1 |   118 | ArgusMS | inhabitant
 2004-07-19 00:00:30 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-19 00:00:30 | S    |     77 |     1 |    14 | ArgusMS | inhabitant
 2004-07-19 00:00:36 | S    |     77 |     1 |    13 | ArgusMS | inhabitant
 2004-07-19 00:00:36 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-19 00:00:39 | S    |     77 |     1 |    17 | ArgusMS | inhabitant
 2004-07-19 00:00:42 | S    |     77 |     1 |    16 | ArgusMS | inhabitant
 2004-07-19 00:00:44 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-19 00:00:44 | S    |     77 |     1 |    15 | ArgusMS | inhabitant
 2004-07-19 00:00:50 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-19 00:00:50 | S    |     79 |     1 |   119 | ArgusMS | inhabitant
 2004-07-19 00:00:52 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-19 00:00:54 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-19 00:00:56 | S    |     77 |     1 |    13 | ArgusMS | inhabitant
 2004-07-19 00:00:57 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-19 00:00:57 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-19 00:00:58 | V    |      2 |     1 |   100 | ArgusD  | inhabitant
 2004-07-19 00:00:58 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-19 00:00:58 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-19 00:00:59 | V    |      2 |     0 |     0 | ArgusD  | inhabitant
 2004-07-19 00:00:59 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-19 00:01:02 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-19 00:01:05 | S    |     77 |     1 |    14 | ArgusMS | inhabitant
