        mark         | zone | number | state | level | source  |    info    
 2004-07-23 03:28:07 | V    |     36 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:08 | V    |     37 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:08 | V    |     31 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:09 | V    |     37 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:09 | V    |     36 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:10 | V    |     31 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:10 | V    |     31 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:10 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:10 | V    |     37 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:11 | V    |     32 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:11 | V    |     37 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:11 | V    |     32 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:13 | V    |     37 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:14 | V    |     32 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:14 | V    |     33 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:15 | V    |     33 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:15 | V    |     32 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:16 | V    |     33 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:17 | V    |     33 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:17 | V    |     37 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:19 | V    |     33 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:20 | V    |     33 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:21 | V    |     27 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:21 | V    |     32 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:21 | V    |     27 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:22 | V    |     32 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:23 | V    |     26 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:23 | V    |     26 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:23 | V    |     32 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:24 | V    |     32 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:25 | V    |     25 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:27 | V    |     25 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:28 | V    |     25 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:30 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:30 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:31 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:31 | V    |     25 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:33 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:35 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:35 | V    |     17 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:35 | V    |     17 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:38 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:39 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:40 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:40 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:41 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:42 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:42 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:43 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:43 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:43 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:45 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:46 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:47 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:52 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:53 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:29:07 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:29:08 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:29:10 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:29:11 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:29:12 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:29:13 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:29:14 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:29:15 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:29:16 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:29:16 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:29:17 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:29:22 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:29:29 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
