        mark         | zone | number | state | level | source  |    info    
---------------------+------+--------+-------+-------+---------+------------
 2004-07-21 00:00:00 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-21 00:00:00 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:00:01 | S    |     77 |     1 |    16 | ArgusMS | inhabitant
 2004-07-21 00:00:01 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:00:03 | S    |     77 |     1 |    15 | ArgusMS | inhabitant
 2004-07-21 00:00:04 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:00:05 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-21 00:00:09 | S    |     77 |     1 |    14 | ArgusMS | inhabitant
 2004-07-21 00:00:09 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-21 00:00:12 | S    |     77 |     1 |    16 | ArgusMS | inhabitant
 2004-07-21 00:00:15 | S    |     77 |     1 |    14 | ArgusMS | inhabitant
 2004-07-21 00:00:16 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-21 00:00:16 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:00:17 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:00:18 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-21 00:00:19 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:00:21 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:00:23 | S    |     79 |     1 |   116 | ArgusMS | inhabitant
 2004-07-21 00:00:23 | S    |     79 |     1 |   112 | ArgusMS | inhabitant
 2004-07-21 00:00:25 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-21 00:00:25 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:00:26 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-21 00:00:27 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-21 00:00:29 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-21 00:00:30 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:00:30 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:00:31 | S    |     79 |     1 |   116 | ArgusMS | inhabitant
 2004-07-21 00:00:31 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:00:32 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-21 00:00:34 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:00:37 | S    |     79 |     1 |   109 | ArgusMS | inhabitant
 2004-07-21 00:00:38 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:00:39 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-21 00:00:40 | S    |     77 |     1 |    14 | ArgusMS | inhabitant
 2004-07-21 00:00:40 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-21 00:00:40 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-21 00:00:41 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:00:42 | S    |     77 |     1 |    16 | ArgusMS | inhabitant
 2004-07-21 00:00:43 | S    |     79 |     1 |   116 | ArgusMS | inhabitant
 2004-07-21 00:00:43 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:00:43 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:00:44 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-21 00:00:44 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-21 00:00:44 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:00:44 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:00:49 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-21 00:00:49 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:00:50 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-21 00:00:51 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:00:51 | S    |     77 |     1 |    16 | ArgusMS | inhabitant
 2004-07-21 00:00:56 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-21 00:00:57 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-21 00:00:59 | S    |     77 |     1 |    13 | ArgusMS | inhabitant
 2004-07-21 00:00:59 | S    |     79 |     1 |   109 | ArgusMS | inhabitant
 2004-07-21 00:01:00 | S    |     79 |     1 |   116 | ArgusMS | inhabitant
 2004-07-21 00:01:01 | S    |     77 |     1 |    13 | ArgusMS | inhabitant
 2004-07-21 00:01:01 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:01:01 | S    |     79 |     1 |   116 | ArgusMS | inhabitant
 2004-07-21 00:01:02 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:01:02 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-21 00:01:03 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:01:03 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:01:04 | S    |     77 |     1 |    17 | ArgusMS | inhabitant
 2004-07-21 00:01:05 | S    |     70 |     1 |   235 | ArgusMS | inhabitant
 2004-07-21 00:01:05 | S    |     70 |     1 |   239 | ArgusMS | inhabitant
 2004-07-21 00:01:06 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:01:06 | S    |     77 |     1 |    16 | ArgusMS | inhabitant
 2004-07-21 00:01:06 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:01:07 | S    |     77 |     1 |    13 | ArgusMS | inhabitant
 2004-07-21 00:01:08 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-21 00:01:10 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:01:12 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-21 00:01:13 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:01:14 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-21 00:01:15 | S    |     77 |     1 |    15 | ArgusMS | inhabitant
 2004-07-21 00:01:15 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-21 00:01:16 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:01:16 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:01:17 | S    |     77 |     1 |    17 | ArgusMS | inhabitant
 2004-07-21 00:01:19 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-21 00:01:19 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:01:21 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-21 00:01:22 | S    |     79 |     1 |   110 | ArgusMS | inhabitant
 2004-07-21 00:01:23 | S    |     77 |     1 |    14 | ArgusMS | inhabitant
 2004-07-21 00:01:24 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-21 00:01:24 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:01:26 | S    |     77 |     1 |    14 | ArgusMS | inhabitant
 2004-07-21 00:01:26 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:01:27 | S    |     77 |     1 |    18 | ArgusMS | inhabitant
 2004-07-21 00:01:28 | S    |     77 |     1 |    14 | ArgusMS | inhabitant
 2004-07-21 00:01:30 | S    |     77 |     1 |    19 | ArgusMS | inhabitant
 2004-07-21 00:01:31 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:01:31 | S    |     79 |     1 |   111 | ArgusMS | inhabitant
 2004-07-21 00:01:31 | S    |     77 |     1 |    17 | ArgusMS | inhabitant
 2004-07-21 00:01:33 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
 2004-07-21 00:01:35 | S    |     77 |     1 |    13 | ArgusMS | inhabitant
 2004-07-21 00:01:36 | S    |     77 |     1 |    16 | ArgusMS | inhabitant
 2004-07-21 00:01:37 | S    |     77 |     1 |    12 | ArgusMS | inhabitant
